"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count","year","month","day"
6815841748,"Barack Obama","Tomorrow morning, OFA takes the March for Innovation baton. 

Start brainstorming great immigration reform questions for Executive Director Jon Carson--and share this poster to spread the word about his Twitter town hall.","2013-05-23T00:10:57+0000","photo","https://www.facebook.com/photo.php?fbid=10151598344121749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151598344191749",15575,6138,1509,"2013","05","23"
6815841748,"Barack Obama","Nice to meet you, Mr. President.","2013-05-23T21:51:14+0000","photo","https://www.facebook.com/photo.php?fbid=10151599725146749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151599725211749",211560,12217,10047,"2013","05","23"
6815841748,"Barack Obama","""Our military remains the most trusted institution in America. When others have shirked their responsibilities, our Armed Forces have met every mission we've given them. When others have been distracted by petty arguments, our men and women in uniform come together as one American team."" —President Obama speaking to the United States Naval Academy class of 2013","2013-05-24T21:08:24+0000","photo","https://www.facebook.com/photo.php?fbid=10151601313971749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151601314026749",91965,15629,7976,"2013","05","24"
6815841748,"Barack Obama","Today we remember our fallen heroes.","2013-05-27T16:10:35+0000","photo","https://www.facebook.com/photo.php?fbid=10151605693961749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151605694016749",263164,16724,21708,"2013","05","27"
6815841748,"Barack Obama","""You are stronger than the storm. After all you’ve dealt with, after all you’ve been through, the Jersey Shore is back and it is open for business, and they want all Americans to know that they’re ready to welcome you here."" —President Obama, visiting the Jersey Shore yesterday.","2013-05-30T00:08:02+0000","photo","https://www.facebook.com/photo.php?fbid=10151609643626749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151609643686749",112917,6738,6405,"2013","05","30"
6815841748,"Barack Obama","Immigration has always been part of the American story, and reform will strengthen our economy and keep families together.

The time is now. Join the fight: http://OFA.BO/vH9FP9","2013-05-30T21:40:36+0000","photo","https://www.facebook.com/photo.php?fbid=10151610918656749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151610918681749",59309,8474,6382,"2013","05","30"
6815841748,"Barack Obama","In 2012, Congress voted to keep student loan interest down. Unless they act now, rates will double on July 1. We can't let that happen. http://OFA.BO/dPjMZi","2013-05-31T21:29:25+0000","photo","https://www.facebook.com/photo.php?fbid=10151612490971749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151612491021749",85862,6059,12687,"2013","05","31"
6815841748,"Barack Obama","Happy LGBT Pride Month. Congratulations to these states on embracing equality in 2013. Let's keep up the momentum.","2013-06-01T15:15:06+0000","photo","https://www.facebook.com/photo.php?fbid=10151613493751749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151613493786749",89616,14396,10377,"2013","06","01"
6815841748,"Barack Obama","Last weekend, 39 state chapters held Organizing for Action Founders' Summits. OFA members shared what motivates them to volunteer and discussed their next steps on issues ranging from immigration to climate change.  Are you fired up? Join us today: http://OFA.BO/5qrXoa","2013-06-04T01:15:59+0000","photo","https://www.facebook.com/photo.php?fbid=10151617296126749&set=a.10151617295051749.1073741827.6815841748&type=1&relevant_count=18","6815841748_10151617301211749",21941,3078,1345,"2013","06","04"
6815841748,"Barack Obama","Immigration has always been part of the American story. It's time to streamline our legal immigration system, and provide undocumented immigrants with a path to citizenship.

Add your voice today, and let's get this done: http://OFA.BO/r49Jvn","2013-06-04T18:26:05+0000","photo","https://www.facebook.com/photo.php?fbid=10151618394176749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151618394216749",48560,5881,5083,"2013","06","04"
6815841748,"Barack Obama","This guy.","2013-06-04T21:06:16+0000","photo","https://www.facebook.com/photo.php?fbid=10151618601261749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151618601371749",297575,14606,14885,"2013","06","04"
6815841748,"Barack Obama","""What we want is to make sure that the voices of the people who put me here continue to be heard."" —President Obama

Organizing for Action represents these voices every day. Watch to learn more and get involved: http://OFA.BO/E2Yih4","2013-06-06T02:03:15+0000","photo","https://www.facebook.com/photo.php?fbid=10151620538896749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151620538966749",22773,5309,1124,"2013","06","06"
6815841748,"Barack Obama","Smart, comprehensive immigration reform will make us stronger as a nation. Let's get it done. Add your voice today: http://OFA.BO/TcpuBG","2013-06-06T18:19:58+0000","photo","https://www.facebook.com/photo.php?fbid=10151621586501749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151621586561749",25033,2399,2162,"2013","06","06"
6815841748,"Barack Obama","Throwback Thursday: High school graduation.","2013-06-06T20:54:57+0000","photo","https://www.facebook.com/photo.php?fbid=10151621825776749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151621825846749",279141,14951,12825,"2013","06","06"
6815841748,"Barack Obama","The New York Solar Bill is close to becoming law. Add your support and tell the state Assembly to bring it to a vote: http://OFA.BO/zi9Byh","2013-06-07T16:07:23+0000","photo","https://www.facebook.com/photo.php?fbid=10151623224436749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151623224471749",1639,64,259,"2013","06","07"
6815841748,"Barack Obama","Belly rub.","2013-06-07T19:16:00+0000","photo","https://www.facebook.com/photo.php?fbid=10151623475211749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151623475266749",172675,8442,7195,"2013","06","07"
6815841748,"Barack Obama","""The bill before the Senate isn’t perfect. It’s a compromise. Nobody will get everything they want—not Democrats, not Republicans, not me. But it is a bill that’s largely consistent with the principles I’ve repeatedly laid out for common-sense immigration reform."" —President Obama

The Senate will be debating comprehensive immigration reform next week. Watch the President's weekly address to find out exactly why this bipartisan bill must be passed: http://OFA.BO/D86cDg","2013-06-08T14:15:13+0000","photo","https://www.facebook.com/photo.php?fbid=10151624726091749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151624726171749",56552,15734,4210,"2013","06","08"
6815841748,"Barack Obama","Photo: President Obama signs the Lilly Ledbetter Fair Pay Act in 2009, in his first month in office. Today, on the 50th anniversary of the Equal Pay Act, the President made it clear that our work on equal pay for women is not finished:

""I want every child to grow up knowing that a woman’s hard work is valued and rewarded just as much as any man’s.""","2013-06-10T20:32:10+0000","photo","https://www.facebook.com/photo.php?fbid=10151628526416749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151628526471749",50582,6571,4481,"2013","06","10"
6815841748,"Barack Obama","Youth outreach.","2013-06-11T20:38:27+0000","photo","https://www.facebook.com/photo.php?fbid=10151630314476749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151630314526749",195692,7357,8820,"2013","06","11"
6815841748,"Barack Obama","The time is now—show your support for immigration reform: http://OFA.BO/HZwa3F","2013-06-12T00:18:03+0000","photo","https://www.facebook.com/photo.php?fbid=10151630590456749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151630590486749",63182,7957,6064,"2013","06","12"
6815841748,"Barack Obama","Yesterday the Senate voted overwhelmingly to take the next step towards immigration reform. Let's get it done. Add your name today: http://OFA.BO/tQMWp5","2013-06-12T20:57:38+0000","photo","https://www.facebook.com/photo.php?fbid=10151632028531749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151632028596749",53144,3343,4606,"2013","06","12"
6815841748,"Barack Obama","Need your opinion: Want to help tell the story of how the Affordable Care Act is improving the lives of millions of Americans? Help pick the official Team Obamacare bumper sticker.

Vote here: http://OFA.BO/1rhiAF","2013-06-13T00:07:59+0000","photo","https://www.facebook.com/photo.php?fbid=10151632275126749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151632275151749",32251,8470,2295,"2013","06","13"
6815841748,"Barack Obama","A fair pathway to earned citizenship will keep families together and keep our communities strong. Don't miss your chance to show support for comprehensive, compassionate immigration reform: http://OFA.BO/uCvKe1","2013-06-13T16:58:44+0000","photo","https://www.facebook.com/photo.php?fbid=10151633409316749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151633409346749",41744,3133,3616,"2013","06","13"
6815841748,"Barack Obama","Tomorrow marks six months since Newtown, and Congress has yet to take action to reduce gun violence. Let them know that you are #NotBackingDown.","2013-06-13T21:36:15+0000","photo","https://www.facebook.com/photo.php?fbid=10151633795216749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151633795256749",93123,8451,11382,"2013","06","13"
6815841748,"Barack Obama","Six months ago today, 26 families were torn apart by gun violence. Our representatives in Congress still have yet to take action to protect our children and our communities.

Don't let a milestone like today pass without doing something. Pledge to make a call to Congress: http://OFA.BO/9JmSgC #NotBackingDown","2013-06-14T15:07:52+0000","photo","https://www.facebook.com/photo.php?fbid=10151634926926749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151634927261749",33804,5400,5709,"2013","06","14"
6815841748,"Barack Obama","Six months later, we have not forgotten the 26 victims of the Newtown tragedy.

Let your representatives in Congress know that you're #NotBackingDown on gun violence prevention. http://OFA.BO/F14SJK","2013-06-14T19:04:06+0000","photo","https://www.facebook.com/photo.php?fbid=10151635250031749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151635250086749",41235,6831,2686,"2013","06","14"
6815841748,"Barack Obama","Share this to show your support for marriage equality this LGBT Pride Month.","2013-06-15T17:12:07+0000","photo","https://www.facebook.com/photo.php?fbid=10151636754161749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151636754196749",65401,6359,14657,"2013","06","15"
6815841748,"Barack Obama","""If there’s one thing I’ve learned along the way, it’s that all our personal successes shine a little less brightly if we fail at family. That’s what matters most.""

Watch President Obama's weekly address celebrating Father's Day: http://OFA.BO/EKV7v9","2013-06-15T22:15:22+0000","photo","https://www.facebook.com/photo.php?fbid=10151637163401749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151637163451749",92335,9190,8317,"2013","06","15"
6815841748,"Barack Obama","Happy Father's Day.","2013-06-16T17:04:09+0000","photo","https://www.facebook.com/photo.php?fbid=10151638555516749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151638555561749",477257,18207,64674,"2013","06","16"
6815841748,"Barack Obama","Fist bump.","2013-06-17T16:57:39+0000","photo","https://www.facebook.com/photo.php?fbid=10151640534361749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151640534496749",257430,7566,13144,"2013","06","17"
6815841748,"Barack Obama","Who are the DREAMers you keep hearing about? In ""The Dream Is Now,"" you'll get to know a few of them and find out why they're fighting so hard for immigration reform. 

Search for a free documentary screening near you: http://OFA.BO/8E8iFK","2013-06-17T21:12:02+0000","photo","https://www.facebook.com/photo.php?fbid=10151640880191749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151640880236749",31117,7789,2992,"2013","06","17"
6815841748,"Barack Obama",NA,"2013-06-18T17:49:49+0000","photo","https://www.facebook.com/photo.php?fbid=548650405196963&set=a.325587804169892.76519.325578590837480&type=1","6815841748_10151642286261749",33115,3029,2139,"2013","06","18"
6815841748,"Barack Obama","On the road again.","2013-06-19T00:31:54+0000","photo","https://www.facebook.com/photo.php?fbid=10151642820396749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151642820456749",119988,11006,4499,"2013","06","19"
6815841748,"Barack Obama","Dog days of summer.","2013-06-19T16:28:47+0000","photo","https://www.facebook.com/photo.php?fbid=10151643831571749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151643831641749",96249,4275,4332,"2013","06","19"
6815841748,"Barack Obama","The CBO made it clear: Immigration reform is good for the economy, and shrinks the deficit—by nearly $1 trillion. Let's get it done.

Show your support today: http://OFA.BO/dZpCQt #AmericanStory","2013-06-19T20:59:48+0000","photo","https://www.facebook.com/photo.php?fbid=10151644220041749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151644220101749",37122,5890,4610,"2013","06","19"
6815841748,"Barack Obama","Home sweet home.","2013-06-20T15:24:18+0000","photo","https://www.facebook.com/photo.php?fbid=10151645546151749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151645546271749",336282,14896,10776,"2013","06","20"
6815841748,"Barack Obama","Help spread the word about how Obamacare is helping millions of Americans access affordable health care. 

Join Team Obamacare today and get a free bumper sticker: http://OFA.BO/myw7HM #ObamacareWorks","2013-06-20T21:25:59+0000","photo","https://www.facebook.com/photo.php?fbid=10151646107666749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151646107716749",33326,5176,2586,"2013","06","20"
6815841748,"Barack Obama","Have a relaxing first day of summer.","2013-06-21T16:36:20+0000","photo","https://www.facebook.com/photo.php?fbid=10151647686471749&set=a.53081056748.66806.6815841748&type=1&relevant_count=1","6815841748_10151647686541749",166876,12979,6389,"2013","06","21"
